month,Species,NumMosquitos,Sunset,DaylightHrs,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Cool,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Station,WnvPresent
5,CULEX PIPIENS/RESTUANS,1,1911,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,1,0
5,CULEX RESTUANS,1,1911,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,1,0
5,CULEX RESTUANS,1,1911,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,1,0
5,CULEX PIPIENS/RESTUANS,1,1911,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,1,0
5,CULEX RESTUANS,4,1911,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,1,0
5,CULEX PIPIENS/RESTUANS,1,1911,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,1,0
5,CULEX PIPIENS/RESTUANS,1,1911,1486,87.0,55.0,71.0,10.0,46.0,58.0,6.0,0.0,29.34,30.06,10.0,18.0,10.2,1,0
5,CULEX RESTUANS,2,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX PIPIENS/RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,2,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX PIPIENS/RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX PIPIENS/RESTUANS,2,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,3,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX PIPIENS/RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,3,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,5,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX PIPIENS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX PIPIENS/RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,2,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
5,CULEX RESTUANS,1,1911,1486,87.0,60.0,74.0,13.0,44.0,58.0,9.0,0.0,29.41,30.05,10.1,16.0,10.6,2,0
6,CULEX PIPIENS/RESTUANS,3,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,5,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX PIPIENS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX PIPIENS/RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,2,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX PIPIENS/RESTUANS,2,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,9,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,2,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,2,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX PIPIENS/RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,2,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX PIPIENS/RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,3,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX PIPIENS/RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,2,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX PIPIENS/RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,2,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX PIPIENS/RESTUANS,1,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
6,CULEX RESTUANS,10,1917,1496,88.0,60.0,74.0,10.0,58.0,65.0,9.0,0.0,29.39,30.11,5.8,18.0,6.5,1,0
